# Iowa Hawkeyes Sports Events (2020-2025)
# Format: DATE | SPORT | OPPONENT | LOCATION | RESULT | EVENT_TYPE

# Baseball 2020-21 Season
2023-01-05 | BASKETBALL | #15 INDIANA | Iowa City, Iowa | W 91-89 | HOME_GAME
2023-01-12 | BASKETBALL | MICHIGAN | Iowa City, Iowa | W 93-84 | HOME_GAME
2023-01-15 | BASKETBALL | MARYLAND | Iowa City, Iowa | W 81-67 | HOME_GAME
2023-01-29 | BASKETBALL | RUTGERS | Iowa City, Iowa | W 93-82 | HOME_GAME
2023-01-31 | BASKETBALL | NORTHWESTERN | Iowa City, Iowa | W 86-70 | HOME_GAME
2023-02-04 | BASKETBALL | ILLINOIS | Iowa City, Iowa | W 81-79 | HOME_GAME
2023-02-16 | BASKETBALL | OHIO STATE | Iowa City, Iowa | W 92-75 | HOME_GAME
2023-02-25 | BASKETBALL | MICHIGAN STATE | Iowa City, Iowa | W 112-106 | HOME_GAME
2023-03-05 | BASKETBALL | NEBRASKA | Iowa City, Iowa | L 77-81 | HOME_GAME

# Men's Basketball 2023-24 Season
2023-10-30 | BASKETBALL | QUINCY | Iowa City, Iowa | W 103-76 | HOME_GAME
2023-11-07 | BASKETBALL | NORTH DAKOTA | Iowa City, Iowa | W 110-68 | HOME_GAME
2023-11-10 | BASKETBALL | ALABAMA STATE | Iowa City, Iowa | W 98-67 | HOME_GAME
2023-11-17 | BASKETBALL | ARKANSAS STATE | Iowa City, Iowa | W 88-74 | HOME_GAME
2023-11-29 | BASKETBALL | NORTH FLORIDA | Iowa City, Iowa | W 103-78 | HOME_GAME
2023-12-10 | BASKETBALL | MICHIGAN | Iowa City, Iowa | L 80-90 | HOME_GAME
2023-12-20 | BASKETBALL | UMBC | Iowa City, Iowa | W 103-81 | HOME_GAME
2023-12-29 | BASKETBALL | NORTHERN ILLINOIS | Iowa City, Iowa | W 103-74 | HOME_GAME
2024-01-06 | BASKETBALL | RUTGERS | Iowa City, Iowa | W 86-77 | HOME_GAME
2024-01-12 | BASKETBALL | NEBRASKA | Iowa City, Iowa | W 94-76 | HOME_GAME
2024-01-20 | BASKETBALL | #2 PURDUE | Iowa City, Iowa | L 70-84 | HOME_GAME
2024-01-24 | BASKETBALL | MARYLAND | Iowa City, Iowa | L 67-69 | HOME_GAME
2024-02-02 | BASKETBALL | OHIO STATE | Iowa City, Iowa | W 79-77 | HOME_GAME
2024-02-11 | BASKETBALL | MINNESOTA | Iowa City, Iowa | W 90-85 | HOME_GAME
2024-02-17 | BASKETBALL | #20 WISCONSIN | Iowa City, Iowa | W 88-86 | HOME_GAME
2024-02-27 | BASKETBALL | PENN STATE | Iowa City, Iowa | W 90-81 | HOME_GAME
2024-03-10 | BASKETBALL | #12 ILLINOIS | Iowa City, Iowa | L 61-73 | HOME_GAME
2024-03-19 | BASKETBALL | KANSAS STATE | Iowa City, Iowa | W 91-82 | HOME_GAME

# Men's Basketball 2024-25 Season
2024-10-25 | BASKETBALL | MINNESOTA-DULUTH | Iowa City, Iowa | W 102-81 | HOME_GAME
2024-11-04 | BASKETBALL | TEXAS A&M COMMERCE | Iowa City, Iowa | W 89-67 | HOME_GAME
2024-11-07 | BASKETBALL | SOUTHERN | Iowa City, Iowa | W 89-74 | HOME_GAME
2024-11-12 | BASKETBALL | SOUTH DAKOTA | Iowa City, Iowa | W 96-77 | HOME_GAME
2024-11-19 | BASKETBALL | RIDER | Iowa City, Iowa | W 83-58 | HOME_GAME
2024-11-26 | BASKETBALL | USC UPSTATE | Iowa City, Iowa | W 110-77 | HOME_GAME
2024-12-03 | BASKETBALL | NORTHWESTERN | Iowa City, Iowa | W 80-79 | HOME_GAME
2024-12-12 | BASKETBALL | #3 IOWA STATE | Iowa City, Iowa | L 80-89 | HOME_GAME
2024-12-15 | BASKETBALL | NEW ORLEANS | Iowa City, Iowa | W 104-57 | HOME_GAME
2024-12-30 | BASKETBALL | NEW HAMPSHIRE | Iowa City, Iowa | W 112-70 | HOME_GAME
2025-01-07 | BASKETBALL | NEBRASKA | Iowa City, Iowa | W 97-87 | HOME_GAME
2025-01-11 | BASKETBALL | INDIANA | Iowa City, Iowa | W 85-60 | HOME_GAME
2025-01-21 | BASKETBALL | MINNESOTA | Iowa City, Iowa | L 67-72 | HOME_GAME
2025-01-24 | BASKETBALL | PENN STATE | Iowa City, Iowa | W 76-75 | HOME_GAME
2025-02-04 | BASKETBALL | #7 PURDUE | Iowa City, Iowa | L 81-90 | HOME_GAME
2025-02-08 | BASKETBALL | #21 WISCONSIN | Iowa City, Iowa | L 63-74 | HOME_GAME
2025-02-19 | BASKETBALL | OREGON | Iowa City, Iowa | L 78-80 | HOME_GAME
2025-02-22 | BASKETBALL | WASHINGTON | Iowa City, Iowa | W 85-79 | HOME_GAME
2025-03-06 | BASKETBALL | #8 MICHIGAN STATE | Iowa City, Iowa | L 84-91 | HOME_GAME

# Men's Wrestling 2020-21 Season
2021-01-15 | WRESTLING | #6 NEBRASKA | Iowa City, Iowa | W 31-6 | HOME_MATCH
